zone_name,zone_type,block,area_m2,occ_density,lighting_w_m2,equipment_w_m2,computers_w_m2,heating_setpoint_c,cooling_setpoint_c,mechanical_ventilation_value,min_fresh_air_l_s_person,min_fresh_air_l_s_m2,term_factor,break_factor,summer_factor
Zone 52,1-Standard,2nd Floor plan,16.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 65,1-Standard,2nd Floor plan,10.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 64,1-Standard,2nd Floor plan,30.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 50,1-Standard,2nd Floor plan,55.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 86,1-Standard,2nd Floor plan,12.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 57,1-Standard,2nd Floor plan,8.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 56,1-Standard,2nd Floor plan,23.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 55,1-Standard,2nd Floor plan,11.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 54,1-Standard,2nd Floor plan,25.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 45,1-Standard,2nd Floor plan,47.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 87,1-Standard,2nd Floor plan,33.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 88,1-Standard,2nd Floor plan,19.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 31,1-Standard,2nd Floor plan,6.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 3,1-Standard,2nd Floor plan,110.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 60,1-Standard,2nd Floor plan,12.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 5,1-Standard,2nd Floor plan,9.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 26,1-Standard,2nd Floor plan,14.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 10,1-Standard,2nd Floor plan,13.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 11,1-Standard,2nd Floor plan,46.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 13,1-Standard,2nd Floor plan,29.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 16,1-Standard,2nd Floor plan,19.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 22,1-Standard,2nd Floor plan,4.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 14,1-Standard,2nd Floor plan,8.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 32,1-Standard,2nd Floor plan,9.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 33,1-Standard,2nd Floor plan,7.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 34,1-Standard,2nd Floor plan,123.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 35,1-Standard,2nd Floor plan,318.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 41,1-Standard,2nd Floor plan,24.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 36,1-Standard,2nd Floor plan,151.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 39,1-Standard,2nd Floor plan,26.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 40,1-Standard,2nd Floor plan,4.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 38,1-Standard,2nd Floor plan,4.6,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 44,1-Standard,2nd Floor plan,23.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 42,1-Standard,2nd Floor plan,22.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 37,1-Standard,2nd Floor plan,5.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 82,1-Standard,2nd Floor plan,42.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 63,1-Standard,2nd Floor plan,99.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 83,1-Standard,2nd Floor plan,47.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 43,1-Standard,2nd Floor plan,40.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 59,1-Standard,2nd Floor plan,13.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 47,1-Standard,2nd Floor plan,14.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 51,1-Standard,2nd Floor plan,13.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 25,1-Standard,3rd floor plan,223.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 4,1-Standard,3rd floor plan,60.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,3rd floor plan,117.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 9,1-Standard,3rd floor plan,11.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 2,1-Standard,3rd floor plan,27.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 10,1-Standard,3rd floor plan,5.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 8,1-Standard,3rd floor plan,3.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 11,1-Standard,3rd floor plan,3.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 5,1-Standard,3rd floor plan,33.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 6,1-Standard,3rd floor plan,26.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 3,1-Standard,3rd floor plan,26.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 18,1-Standard,3rd floor plan,38.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 7,1-Standard,3rd floor plan,2.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 13,1-Standard,3rd floor plan,10.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 12,1-Standard,3rd floor plan,49.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 14,1-Standard,3rd floor plan,35.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 17,1-Standard,3rd floor plan,5.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 15,1-Standard,3rd floor plan,5.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 22,1-Standard,3rd floor plan,5.8,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 20,1-Standard,3rd floor plan,12.4,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 24,1-Standard,3rd floor plan,21.9,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 16,1-Standard,3rd floor plan,13.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 19,1-Standard,3rd floor plan,12.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 21,1-Standard,3rd floor plan,9.6,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 23,1-Standard,3rd floor plan,18.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 2,33.2,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 3,38.3,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 4,29.5,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 5,11.1,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 6,11.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 7,12.7,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
Zone 1,1-Standard,Block 8,13.0,0.111,7.5,11.77,0.0,22.0,24.0,3.0,10.0,0.0,0.85,0.35,0.5
